id,slug,case_title,case_number,case_topics,case_author,news_org,faculty_notes,related_cases,redtext,teaser,description,price,pdf,abstract,teaching_note,epilogue,banner,abstract_img,thumb,link_color,title_color,authentication,faculty_only,layout,linked_cases,category_id,status_id,createdOn,school
91,Voluntary or Regulated?,Voluntary or Regulated? The Trans Fat Campaign in New York City,MSPH-12-0001,"public health policy, public awareness campaigns",Lisa Armstrong,N/A,,,,"This case takes students behind the scenes in the world of public health policymaking. Students follow the New York City Department of Health and Mental Hygiene, and the process it went through to craft a policy to reduce public consumption of trans fats in restaurants. ","<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/651/Screen shot 2012-06-29 at 4.39.08 PM.jpg"" style=""float: right; "" /></p>_x000d_
<p>_x000d_
	<em>MSPH-12-0001</em></p>_x000d_
<p>_x000d_
	This case takes students behind the scenes in the world of public health policymaking. Students follow the New York City Department of Health and Mental Hygiene, and the process it went through to craft a policy to reduce public consumption of trans fats in restaurants. In 2005, the department&rsquo;s Bureau of Chronic Disease Prevention and Control elected after considerable internal negotiations to launch a public awareness campaign aimed equally at consumers, restaurants and their suppliers. But after a year, the awareness campaign had not budged the rate of trans fat use in restaurants. In 2006, the department decided to resort to regulation, despite the risks of triggering protests of a &ldquo;nanny state,&rdquo; not to mention pushback from industry.<br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong>public health policy, public awareness campaigns, or regulating public health</p>_x000d_
",5.95,Voluntary or Regulated_wm.pdf,,Voluntary or Regulated TN.pdf,Voluntary or Regulated Epilogue.pdf,180-01155_NYCTransfatv4.jpg,Screen shot 2012-06-29 at 4.39.08 PM.jpg,thumbnail.jpg,,,yes,,standard,,16,1,5/25/2012,mailman
92,mission vs safety,Mission vs Safety: OCHA Somalia and the Baidoa Raid,SIPA-12-0002.0,aid to lawless societies; humanitarian organizations; multinational organizations; public sector management,"Nancy Zerbey, Kirsten Lundberg",N/A,,,Public Policy!,"When al-Shabaab militants in July 2009 expel agencies from the UN  Common Compound in Baidoa, Somalia, all international personnel leave, including those from the UN Office for the Coordination of Humanitarian Affairs (OCHA). Follow as OCHA debates the pros and cons of returning to Baidoa to help desperate refugees.","<p>_x000d_
	<em>SIPA-12-0002.0</em></p>_x000d_
<p>_x000d_
	<img alt="""" src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/665/ocha abstract.jpg"" style=""float: right; width: 252px; height: 179px; "" /><span style=""font-size:12px;"">This case provides students with a window into the reality of international humanitarian work,&nbsp;specifically the UN Office for the Coordination of Humanitarian Affairs (OCHA). &nbsp;In July 2009, al-Shabaab militants overran the UN Common Compound in Baidoa, Somalia, and expelled &quot;political&quot; agencies. Under UN rules, international humanitarian&nbsp;personnel were obliged to leave as well&mdash;although they did not want to.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong> aid to lawless societies; humanitarian&nbsp;organizations; multinational organizations; public sector management.</p>_x000d_
",5.95,Mission vs Safety OCHA_wm.pdf,,UN OCHA TN .pdf,Mission vs Safety Epilogue.pdf,180-01414JournalismSomaliav2.jpg,ocha abstract.jpg,Screen Shot 2012-10-07 at 5.06.02 PM.jpg,,,yes,,standard,,15,1,9/18/2012,
106,Words of the Dying,Words of the Dying: CHCH TV and Constable Garrett Styles,CSJ-12-0045.0,ethics; editorial decisionmaking; local reporting.,"Carly Conway, Carly Lewis, Sarah Ratchford, Manori Rayindran",CHCH Television,,,,,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/685/abstract.jpg"" style=""float: right; "" /><em>CSJ-12-0045.0 -&nbsp;</em>This contributed case examines whether CHCH TV (outside Toronto) should broadcast the dying words of a police officer whose last thoughts were for the welfare of the teenagers who had dragged him to his death. The case counterposes concern for the privacy of the family/individual against the public&rsquo;s interest in the officer, Constable Garrett Styles.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE, contributed case.</strong></p>_x000d_
<p>_x000d_
	Epilogue</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong>&nbsp;ethics; editorial decisionmaking; local reporting.</p>_x000d_
",0.00,CHCH Styles.pdf,,,CHCH Styles Epilogue.pdf,CaseConsortiumv3.jpeg,abstract.jpg,,,,no,,standard,,17,1,10/15/2012,
108,this american life,Truthiness: <i>This American Life</i> and the Monologist,CSJ-12-0046.0,journalism ethics; editorial management; broadcast journalism; crisis management,"Delia Cabe, Kirsten Lundberg","This American Life, Public Radio International",,,NEW!,"When This American Life featured a story exposing the deplorable working conditions at an Apple computer supplier in China, host Ira Glass and his production team are appalled to learn after the fact that many details were fabricated. This case provides insight into how a news organization copes when it gets a story wrong, whether by its own actions or those of others. ","<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/687/Screen Shot 2012-11-07 at 9.15.22 PM.jpg"" style=""float: right; "" /> <em>CSJ-12-0046.0 &nbsp;</em>This case provides insight into how a news organization copes when it gets a story wrong,&nbsp;whether by its own actions or those of others. On January 6, 2012, the public radio documentary&nbsp;program&nbsp;<em>This American Life</em>&nbsp;broadcast an episode featuring Mike Daisey, whose Broadway&nbsp;stage show exposed deplorable working conditions at an Apple computer supplier in China. TAL host Ira Glass and his production team are appalled to learn that crucial details of Daisey&rsquo;s story were conflated or invented. TAL has to decide how to notify&nbsp;its public about the errors, how to manage audience and press reaction, and how to restore&nbsp;credibility to the show.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong>journalism ethics, editorial management, broadcast journalism or crisis management</p>_x000d_
",5.95,Truthiness_wm.pdf,,Truthiness TN.pdf,Truthiness Epilogue.pdf,180-01418Truthinessv2.jpg,Screen Shot 2012-11-07 at 9.15.22 PM.jpg,Screen Shot 2012-11-07 at 9.19.21 PM.jpg,,,yes,,standard,,17,1,10/21/2012,
109,Amigo o enemigo?,¿Amigo o enemigo? Wikileaks y the Guardian ,CSJ-11-0047.0,editorial management; international; digital media; politics reporting,Kirsten Lundberg,The Guardian,,"22, 1",FREE,"This case is about the celebrated collaboration between WikiLeaks, the secure website for whistleblowers, and the mainstream media--focusing on the British Guardian newspaper. Use in courses on government-media relations; managing sources; data journalism; editorial decisionmaking; or international reporting. ","<p>_x000d_
	<em>CSJ-11-0047.0</em></p>_x000d_
<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/686/Screen%20Shot%202012-10-31%20at%2011.45.10%20PM.jpg"" style=""float: right; "" /></p>_x000d_
<p>_x000d_
	Este caso aborda la famosa colaboraci&oacute;n entre Wikileaks, una web segura para los denunciantes, y los principales medios de comunicaci&oacute;n, centr&aacute;ndose en el diario brit&aacute;nico&nbsp;<em>The Guardian</em>. Sirve para discutir si&nbsp;<em>The Guardian</em>&nbsp;y sus socios en los medios internacionales actuaron correctamente al colaborar con Wikileaks y publicar documentos secretos del gobierno de Estados Unidos.</p>_x000d_
<p>_x000d_
	Ep&iacute;logo, Teaching Note</p>_x000d_
<p>_x000d_
	<span style=""font-weight: bold;"">Temas:&nbsp;</span>las relaciones entre gobierno y medios; manejo de fuentes; periodismo de datos; procesos editoriales de decisi&oacute;n; o informaci&oacute;n internacional.</p>",0.00,Amigo o enemigo_ Wikileaks EN ESPANOL.pdf,,Amigo o enemigo TN.pdf,Amigo o enemigoWikileaks Epilogue.pdf,180-01549WikileaksSpanish.jpeg,wikileaks abstract.gif,thumbnail_wikileaks.jpeg,,,no,,standard,,5,1,10/21/2012,
110,higher truth,Higher Truth or Just the Facts? <i>Hell and Back Again</i>,CSJ-13-0048.0,documentary,Eric Smalley,N/A,,,NEW!,"In 2010, photojournalist and videographer Danfung Dennis was wrapping up production of a documentary about US Marines deployed to Afghanistan, and their readjustment to civilian life.  This case examines the challenges facing a news documentary maker who wants to create a film that conveys a psychological truth without resorting to cinematic techniques. ","<p>_x000d_
	<em>CSJ-13-0048.0</em></p>_x000d_
<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/702/hell%20abstract.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	This case examines the challenges facing a news documentary maker who wants to create a film that conveys a psychological truth without resorting to cinematic techniques. Documentarians make constant decisions as they edit their raw footage about what to include, exclude and emphasize. Nearly all at some point have to ask whether it is dishonest to alter the literal truth in order to communicate a &ldquo;higher&rdquo; truth or complex story.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:&nbsp;</strong>journalism ethics; documentary; war reporting; editorial decision-making; or film editing.</p>_x000d_
",5.95,Hell & Back_wm.pdf,,HellandBackTN.pdf,HellandBack Epilogue.pdf,18001672HigherTruth2.jpg,hell abstract.jpg,Screen Shot 2013-02-06 at 7.02.38 PM.png,,,yes,,standard,,17,1,1/7/2013,
111,caninvestigatepay,Can Investigative Journalism Pay?: <i>InvestigateWest</i> and the Nonprofit Model,CSJ-13-0049.0,journalism entrepreneurship; editorial management; ethics; multimedia journalism production,Ted Smalley Bowen,InvestigateWest,,,,This case looks at the realities of creating a non-profit news start-up focused on investigative reporting. Nonprofits often start with substantial financial support from foundations. Is this healthy in the news business?,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/738/Screen shot 2013-03-01 at 3.13.35 PM.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	<em>CSJ-13-0049.0</em></p>_x000d_
<p>_x000d_
	This case looks at the realities of creating a non-profit news start-up focused on investigative reporting. Nonprofits often start with substantial financial support from foundations. Is this healthy in the news business? What about when the goal is public service journalism? How can news start-ups achieve a sustainable business model that includes a mix of funding streams?</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>journalism entrepreneurship; editorial management; ethics; or multimedia journalism production</p>_x000d_
",5.95,InvestigateWest_wm.pdf,,InvestigateWest TN.pdf,InvestigateWest Epilogue.pdf,18001672InvestigateWest5.jpg,Screen shot 2013-03-01 at 3.13.35 PM.jpg,Screen Shot 2013-02-27 at 6.57.21 PM.png,,,yes,,standard,,17,1,2/14/2013,
112,credible voice,Credible Voice: WHO-Beijing and the SARS Crisis,MSPH-13-0004.0,international public health; intergovernmental organizations; crisis management; media relations,Kirsten Lundberg,N/A,,,NEW!,"The WHO serves as the world's monitor of disease outbreak and control. It is able to mobilize legions of the world's best scientists to analyze, diagnose, prescribe treatments for and contain diseases. However, it depends on the cooperation of the countries experiencing an epidemic. What happens when that cooperation is limited or nonexistent?","<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/756/abstract.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	<em>MSPH-13-0004.0</em> This case study takes students into the Beijing office of the World Health Organization as it dealt with the SARS crisis in early 2003. The WHO serves as the world&rsquo;s monitor of disease outbreak and control. It is able to mobilize legions of the world&rsquo;s best scientists to analyze, diagnose, prescribe treatments for and contain diseases. However, it depends on the cooperation of the countries experiencing an epidemic. What happens when that cooperation is limited or nonexistent?</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: i</strong>nternational public health; intergovernmental organizations; crisis management; media relations</p>_x000d_
",5.95,WHO SARS_wm.pdf,,WHO SARS TN.pdf,WHO SARS Epilogue.pdf,180-0171Crediblevoicev2.jpeg,abstract.jpg,Screen Shot 2013-03-13 at 10.45.46 PM.png,,,yes,,standard,,16,1,3/10/2013,mailman
113,evacuate,Evacuate or Stay? Northshore LIJ and Hurricane Sandy,MSPH-13-0005.0,disaster preparedness; crisis management; health care system logistics,Eric Smalley,N/A,,,NEW,"In October 2012, the North Shore-Long Island Jewish Hospitals (North Shore-LIJ) network braced—together with rest of the East coast—for the advent of Hurricane Sandy. This case examines the pros and cons of evacuating medical facilities in the face of a looming natural disaster. ","<p>_x000d_
	<em>MSPH-13-0005.0</em></p>_x000d_
<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/775/abstract.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	This case examines the pros and cons of evacuating medical facilities in the face of a looming natural disaster. In October 2012, the North Shore-Long Island Jewish Hospitals (North Shore-LIJ) network braced&mdash;together with rest of the East coast&mdash;for the advent of Hurricane Sandy. Weather forecasters painted a grim picture, and North Shore-LIJ had three hospitals in low-lying areas. Vice President of Protective Services James Romagnoli and COO Mark Solazzo had seen this scenario only a year earlier, when in August 2011 they evacuated hospitals in advance of Hurricane Irene. But Irene had, at the last moment, spared New York City. With that unnecessary evacuation fresh in their minds, the two officials had to decide what to do as Sandy approached.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong>disaster preparedness, crisis management, health care system logistics</p>_x000d_
",5.95,NorthShore LIJ_wm.pdf,,NorthShore LIJ TN.pdf,NorthShore LIJ Epilogue.pdf,180-01909_NorthShore_EB_JL_v2.jpg,abstract.jpg,Screen Shot 2013-07-23 at 12.33.44 PM.png,,,yes,,standard,,16,1,6/7/2013,
114,elusive,The Elusive Tuberculosis Case: The CDC and Andrew Speaker,MSPH-13-0006.0,"tuberculosis, infectious diseases, quarantine",Ruth Palmer,N/A,,,NEW!,This case explores the ethical and logistical challenges that face doctors when an infectious disease patient does not cooperate voluntarily with advice to stay out of public spaces in order to protect the general welfare.,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/771/abstract.jpg"" style=""float: right;"" /> <em>MSPH-13-0006.0</em></p>_x000d_
<p>_x000d_
	This case explores the ethical and logistical challenges that face doctors when an infectious disease patient does not cooperate voluntarily with advice to stay out of public spaces in order to protect the general welfare. In April 2007, a young Atlanta lawyer, Andrew Speaker, was diagnosed with active tuberculosis. Initially cooperative, Speaker departs without notice for Greece and his scheduled wedding after it becomes clear that his strain of TB is more lethal and difficult-to-treat than anticipated.&nbsp;</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong>global health, tuberculosis, infectious diseases, epidemiology, global migration and quarantine</p>_x000d_
",5.95,Speaker CDC_wm.pdf,,Speaker CDC TN.pdf,Speaker CDC Epilogue.pdf,180-01938_TB_JL_F.jpg,abstract.jpg,Screen shot 2013-06-20 at 10.12.36 PM.png,,,yes,,standard,,16,1,6/9/2013,
115,Reportear una Verdad Explosiva,Reportear una Verdad Explosiva: Boston Globe y los Abusos Sexuales  en la Iglesia Católica,CSJ-13-0050.0,periodismo de investigación; cobertura de religión,David Mizner ,The Boston Globe,,,ESPANOL,Este caso trata el cálculo que un medio de comunicación debe hacer cuando descubre una historia que incrimina a la institución más poderosa de su comunidad.,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/798/Screen%20Shot%202013-09-13%20at%204.16.30%20PM.jpg.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	CSJ-13-0050.0<br />_x000d_
	Este caso trata el c&aacute;lculo que un medio de comunicaci&oacute;n debe hacer cuando descubre una historia que incrimina a la instituci&oacute;n m&aacute;s poderosa de su comunidad. En 2001, la unidad de investigaci&oacute;n del Boston Globe descubri&oacute; una serie de casos de abuso sexual de menores por parte de sacerdotes cat&oacute;licos. Los alumnos podr&aacute;n examinar las t&eacute;cnicas de investigaci&oacute;n empleadas as&iacute; como analizar los desaf&iacute;os particulares de cubrir el sector religi&oacute;n y reflexionar sobre el impacto personal sobre los periodistas que produce la cobertura de il&iacute;citos cometidos por su propia iglesia.</p>_x000d_
<p>_x000d_
	Ep&iacute;logo, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Temas:</strong> periodismo de investigaci&oacute;n; cobertura de religi&oacute;n</p>_x000d_
",5.95,Boston Globe y los Abusos Sexuales  en la Iglesia Católica_wm .pdf,,Boston Globe y los Abusos Sexuales en la Iglesia Catolica TN.pdf,Boston Globe y los Abusos Sexuales en la Iglesia Catolica Epilogue.pdf,180-02091_Banner Revise_JL_V1.jpg,Screen Shot 2013-09-13 at 4.16.30 PM.jpg.jpg,Screen Shot 2013-08-27 at 4.44.04 PM.png,,,yes,,standard,,5,1,8/27/2013,
116,Cumulative or Discrete Numbers,Cumulative or Discrete Numbers: How Should <em>Bloomberg</em> Measure the Bailout?,CSJ-13-0051.0,financial journalism; government-media relations; data journalism; editorial management  ,Lisa Armstrong,Bloomberg News,,,NEW!,This case describes one of the more confounding issues that business reporters face on a regular basis: how to use numbers. ,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/816/abstract.jpg"" style=""float: right;"" /></p>_x000d_
<p>_x000d_
	<em><span style=""font-size:12px;"">CSJ-13-0051.0</span></em></p>_x000d_
<p>_x000d_
	<span style=""font-size:12px;""><span style=""font-family: arial, helvetica, verdana, sans-serif; line-height: 19px;"">This case describes one of the more confounding issues that business reporters face on a regular basis: how to use numbers. In late 2010 and March 2011, after a lawsuit, <em>Bloomberg News</em></span><span style=""font-family: arial, helvetica, verdana, sans-serif; line-height: 19px;"">&nbsp;received thousands of spreadsheets detailing US Federal Reserve System lending to banks during the financial crisis of 2007-10. A team of editors and reporters had to decide first how to make sense of the dense spreadsheets full of acronyms and abbreviations. Then it had to design a database to crunch and organize the data for optimal public understanding.</span></span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong><span style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; line-height: 19px;"">financial journalism; government-media relations; data journalism; editorial management.&nbsp;</span></p>_x000d_
",5.95,Bloomberg and FedReserve_wm.pdf,,Bloomberg TN 111413.pdf,Bloomberg Epilogue 110713.pdf,BloombergBanner.jpg,abstract.jpg,Screen shot 2013-11-12 at 4.17.58 PM.png,,,yes,,standard,,17,1,11/5/2013,
117,Land Grab or Responsible Development?,Land Grab or Responsible Development? Oil Palm Concessions in Liberia,SIPA-13-0003.0,"natural resource development policy, negotiations","Shahbano Tirmizi, Erin O'Reilly, Elizabeth Herb and Lakshmi Balachandran",N/A,,,NEW!,This case provides a detailed description of a foreign direct investment (FDI) in Liberia. Students are asked to decide whether the project amounts to a land grab or is a legitimate development project.,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/global/117/abstract.jpg"" style=""float: right; height: 177px; width: 250px;"" /></p>_x000d_
<p>_x000d_
	<em>SIPA-13-0003.0</em></p>_x000d_
<p>_x000d_
	This case provides a detailed description of a foreign direct investment (FDI) in Liberia. Students are asked to decide whether the project amounts to a land grab or is a legitimate development project.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>natural resource development policy, negotiations, land policy, rural communities</p>_x000d_
",5.95,Liberia final_wm.pdf,,Liberia TN 111913.pdf,Liberia epilogue 112513.pdf,180-01906_Liberia_EB_GA_v3.jpg,abstract.jpg,Screen shot 2013-11-26 at 12.03.07 PM.png,,,yes,,standard,,15,1,11/21/2013,
118,AllNovaScotia.com: Success or Anomaly?,AllNovaScotia.com: Success or Anomaly?,CSJ-13-0052.0,"media, strategic management, entrepreneurship",Kelly Toughill,AllNovaScotia.com,,,FREE,"This case tells the story of a small, online publication in Halifax, Nova Scotia, which has confounded the punditry of the digital era. Use this case in a course/class about the business of media, strategic management, or entrepreneurship.","<p>_x000d_
	<em>CSJ-13-0052.0 </em><br />_x000d_
	<br />_x000d_
	This case tells the story of a small, online publication in Halifax, Nova Scotia, which has confounded the punditry of the digital era. AllNovaScotia.com (ANS) sits firmly behind a paywall, does not allow its stories to be shared online, and even refuses subscriptions to employees of rival publications. Nonetheless, it has been financially successful. But in 2013, founder David Bentley faced a crossroads. At 69, he was ready to step back. But what should the next step be: sell out? Duplicate the ANS model elsewhere? Go more digital?</p>_x000d_
<p>_x000d_
	<strong>This is a FREE, contributed case.</strong><br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong>&nbsp;media, strategic management, entrepreneurship</p>_x000d_
",0.00,AllNovaScotia Final.pdf,,ANS TN Final.pdf,AllNovaScotia epilogue final.pdf,CaseConsortiumv3.jpeg,Screen shot 2013-12-17 at 12.44.04 PM.png,textonlythumbnail.jpeg,,,no,,standard,,17,1,12/6/2013,
119,A Newsroom Divided,"A Newsroom Divided: Kenya, the Election Crisis, and the Nation Media Group",AKU-13-0001.0,"journalism ethics, editorial management",,Nation Media Group,,,NEW,"This case examines what happens when personal bias affects the newsroom. This case can be used in a class/course on journalism ethics, editorial management, reporting conflict, ethnicity and race in journalism, or reporting elections and politics.","<p>_x000d_
	<em>AKU-13-0001.0</em></p>_x000d_
<p>_x000d_
	This case examines what happens when personal bias affects the newsroom. In mid-January 2008, post-election tribal violence in Kenya was making international headlines. The editorial director of Nation Media Group, which included the <em>Daily Nation</em> newspaper, had a crisis on his hands: the <em>Daily Nation</em> newsroom was splitting along tribal lines. He had to find a way reunite his staff.<br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:</strong> journalism ethics, editorial management, reporting conflict, ethnicity and race in journalism, or reporting elections and politics.</p>_x000d_
",5.95,Kenya elxns.pdf,,Kenya elxns TN.pdf,Kenya elections epilogue.pdf,CaseConsortiumv3.jpeg,Screen shot 2013-12-17 at 12.44.04 PM.png,textonlythumbnail.jpeg,,,yes,,standard,,19,1,12/12/2013,
120,Radio Buddu,Radio Buddu and the Uganda Anti-Homosexuality Bill,AKU-13-0007.0,"Journalism ethics, human rights reporting",Anzetse Were,Radio Buddu,,,NEW,This case looks at the challenges of reporting on homosexuality in a society with complicated attitudes toward the issue. This case can be used in a course/class on journalism ethics; editorial decision making; reporting on human rights and social issues; or reporting on politics. ,"<p>_x000d_
	<em>AKU-13-0007.0</em><br />_x000d_
	<br />_x000d_
	This case looks at the challenges of reporting on homosexuality in a society with complicated attitudes toward the issue.&nbsp;In September 2009, a Ugandan member of Parliament tabled a bill that called for the criminalization of homosexual acts and the death sentence for &ldquo;aggravated homosexuality.&rdquo; Moses Walugembe, a news anchor and talk show host in rural Uganda, wanted to host a show exploring the pros and cons of the bill.<br />_x000d_
	<br />_x000d_
	<strong>This is a FREE case.</strong><br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:&nbsp;</strong>&nbsp;journalism ethics, editorial decision making, reporting on human rights and social issues, reporting on politics.&nbsp;</p>_x000d_
",0.00,Radio Buddu Uganda.pdf,,TN Radio Buddu.pdf,Radio Buddu epilogue.pdf,CaseConsortiumv3.jpeg,Screen shot 2013-12-17 at 12.44.04 PM.png,textonlythumbnail.jpeg,,,no,,standard,,19,1,12/12/2013,
121,Public Service or Illegal Act?,Public Service or Illegal Act? The <i>Weekly Mail</i> and Bugging Staal Burger,AKU-12-0002.0,journalism ethics; international media; law,R. Chandrasekhar,Weekly Mail,,,NEW!,Are there instances in which the media is justified in breaking the law? Part A describes the debate within the editorial team at the Weekly Mail South African newspaper as it wrestles with whether to bug a meeting of right-wing extremists in South Africa with a history of violence. What if the eavesdropping could forestall a deadly event? Part B describes the consequences.,"<p>_x000d_
	<em>AKU-14-0002.0</em><br />_x000d_
	<br />_x000d_
	Are there instances in which the media is justified in breaking the law? Part A describes debate within the editorial team at the Weekly Mail South African newspaper as it wrestles with whether to bug a meeting of right-wing extremists with a history of violence. What if eavesdropping could forestall a deadly event? Part B describes the consequences.<br />_x000d_
	<br />_x000d_
	Part B, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:&nbsp;</strong>&nbsp;journalism ethics,&nbsp; international media, journalism and the law, or investigative reporting.<br />_x000d_
	<br />_x000d_
	<strong>Faculty: </strong>You will have an opportunity to review Part B once you have registered.</p>_x000d_
",5.95,Public Service or Illegal Act Pt A.pdf,,Public Service or Illegal Act TN.pdf,Public Service or Illegal Act Pt B.pdf,CaseConsortiumv3.jpeg,text only image.jpg,textonlythumbnail.jpeg,,,yes,,standard,,19,1,1/22/2014,
122,TZ Bribery,Spike or Suffer? <i>Jamhuri</i> and the Bribe Offer,AKU-12-0006.0,journalism; business ethics; editorial management,Ayesha Daya ,Jamhuri,,,,"The case explores ethics in journalism and the potential costs to a news outlet should it accept or refuse a bribe. Students are asked to think about the fact that, while refusing bribes is the ethical ideal, doing so may harm the news organization both legally and financially. ","<p>_x000d_
	<em>AKU-14-0006.0</em></p>_x000d_
<p>_x000d_
	How should a news organization handle a bribe if refusing it could damage the news operation? What if giving and taking bribes, while illegal, is an accepted cost of doing business? In January 2012, Deodatus Balile&mdash;managing editor of the fledgling Tanzanian weekly newspaper, <em>Jamhuri</em>&mdash;obtained documents proving improprieties in a privatization deal. Before publishing a story, he was offered a bribe to spike it.<br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:&nbsp;</strong>journalism; business ethics; editorial management</p>_x000d_
",5.95,TZ bribery final.pdf,,TZ bribery TN.pdf,TZ bribery epilogue FINAL.pdf,CaseConsortiumv3.jpeg,text only image.jpg,textonlythumbnail.jpeg,,,yes,,standard,,19,1,1/23/2014,
123,Seeking Partners,Seeking Partners for Press Freedom Media Council of Tanzania and DEFIR,AKU-12-0003.0,,R. Chandrasekhar,N/A,,,NEW!,,"<p>_x000d_
	<em>AKU-13-0003.0 </em></p>_x000d_
<p>_x000d_
	This case examines what means and partners are available to battle endemic corruption within the media. In 2009, the Media Council of Tanzania (MCT) committed itself to the goal of enlisting media outlets, advertisers and others in adopting a code of editorial independence and responsibility.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:</strong>&nbsp; international media; ethics; media reform; or press and politics.</p>_x000d_
",5.95,Seeking Partners for Press Freedom.pdf,,Seeking Partners TZ TN.pdf,Seeking Partners.pdf,CaseConsortiumv3.jpeg,text only image.jpg,textonlythumbnail.jpeg,,,yes,,standard,,19,1,2/11/2014,
124,Haiti,Côte Sud Initiative: Integrated Development in Haiti,CCC-14-0001.0,sustainable development,Eric Smalley,N/A,,,,"This case takes students into the world of international sustainable development. It looks at the challenges that confront a comprehensive development project (environment, education, health etc.) in the south of Haiti in 2012.","<p>_x000d_
	<em>CCC-14-0001.0</em></p>_x000d_
<p>_x000d_
	This case takes students into the world of international sustainable development. It looks at the challenges that confront a comprehensive development project (environment, education, health etc.) in the south of Haiti in 2012. The C&ocirc;te Sud Initiative (CSI) is one piece of the government&rsquo;s response to the devastating earthquake of January 2010 that leveled large parts of the capital and sent refugees streaming into the countryside, including the south. The project starts with data collection and is just gearing up to deliver services when, in March 2012, staff learn the chief funder is withdrawing.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE case.</strong></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong> Sustainable development</p>_x000d_
",$0,Haiti final 031114.pdf,,HaitiTN.pdf,Haiti Epilogue 030614.pdf,haitibanner.jpg,Screen Shot 2014-03-13 at 7.06.29 PM.png,Screen Shot 2014-03-13 at 6.57.14 PM.png,,,no,,standard,,20,1,2/25/2014,
